item,regra
duplicata_exata,Mesma fonte+estacao+timestamp+valor: manter uma linha.
conflito_timestamp,Mesmo timestamp com valores distintos: preservar e sinalizar.
ausente,Nao conta como observacao valida.
negativo,Sinalizar como invalido para precipitacao e nao usar na completude.
extremo_positivo,Preservar e diagnosticar; nao excluir automaticamente.
cadencia,Inferida por estacao-ano a partir do intervalo modal entre valores validos.
completude_diaria,Observacoes validas unicas / observacoes esperadas pela cadencia.
limiares,"75, 80, 90 e 100% usados como sensibilidade; 90% apenas para triagem."
agregacao_diaria,Nao realizada nesta etapa.
fuso,Confirmacao documental permanece pendente.
pareamento_final,"Definir apenas apos QA/QC, sobreposicao com MP10 e avaliacao espacial."
